unique_id,url,daft_id,title,address,date_listed,date_scraped,views,price_eur,beds,baths,area_m2,price_per_m2_eur,ber_rating,agent_name,agent_agency,agent_phone,agent_licence,lat,lng,nearest_primary_school,nearest_secondary_school,description,county,county_standard,province,data_quality_flag
GA2026001,https://www.daft.ie/new-home-for-sale/an-doirin-ballyquirke-moycullen-co-galway/5985840,5985840,"An Doirin, Ballyquirke, Moycullen, Co. Galway","Moycullen, Co. Galway",2025-01-23,2026-04-13,28518,,2,2,83.24,,A2,Mary Fahy,O'Donnellan & Joyce,091 564212,001955,53.33690596775455,-9.178514350256023,School Name,School Name,"AN DOIRÍN, BALLYQUIRKE, MOYCULLEN, CO GALWAY

SHOWHOUSE AVAILABLE
HOMES QUALIFY - HELP TO BUY and FIRST HOME SCHEME

FROM €365,000 
LAST FEW UNITS REMAINING

DERRYCLARE - Type D - Two Bed Duplex Units

2 bed / 2 bath - 83.24 sqm / 896 sq ft
PARKING - One allocated carpark space
Additional spaces available on request

Welcome to Moycullen, where the natural beauty of the West is unveiled.

An Doirin (the little Oakgrove), is an exceptional development of architecturally designed bright, spacious and stylish two, three and four bedroom homes from Castlestar Developments.

Moycullen, is a vibrant Gaeltacht village nestled between the southern shores of Lough Corrib and Galway Bay and within close proximity of Galway City which makes it one of the most sought-after areas in County Galway. The location is unrivalled and everything you need is within easy reach. 

The high build quality and generous specification of these homes reflect the traditional values of craftmanship and design worthy of this vibrant and highly sought-after location.

Contemporary in design, each home has been thoughtfully crafted for modern day living combining style and comfort. These energy-efficient homes boast an A2 energy rating that will keep you warm and help you save money by reducing your energy consumption.

The central village location boasts an enviable array of local services and amenities that make it the ideal place for you and your loved ones to put down roots. 

These distinctive and contemporary homes are perfect for all. Regardless of whether you are a first-time buyer, trading up or downsizing, your new home at An Doirín awaits you. 

At CastleStar we build homes and communities where people love to live, work and play. 

We are committed to building high-quality, energy efficient and sustainable new homes in great locations that create strong neighbourhoods where residents can benefit from an enhanced quality of life and where communities can thrive and grow.  

We manage the process from Planning and Design through to Construction and Landscaping.

KITCHEN AND DINING
The modern, light-filled open plan kitchen and dining area are fitted with bespoke, ergonomic units that have been designed to accommodate smartly integrated appliances.  These bright open spaces are practical and elegant and will be the heart of your home from where you can host gatherings, entertain guests or just hang out and relax.

LIVING ROOM
The living room is painted and finished and offers a calm haven where you can relax and unwind.  Each Living room is fitted with a TV connection point.

BEDROOMS
The well-appointed bedrooms are calm and relaxing spaces that are designed for sleeping soundly and living comfortably. Clever builtin storage is provided in the Master bedroom to minimise clutter and all the fixtures and fittings are finished to the highest of standards.

LANDSCAPING AND PLANTING
The design of An Doirín has been carefully thought through to create a strong neighbourhood and to provide a sense of community and space. 

Each house is less than a two-minute walk away from the landscaped green open space that forms the heart of the scheme with pollinator friendly flowers where you can play or stretch out and relax.  

There is also a playground within the parkland area that will have wildflower meadows and woodland tree trails. New planting of native trees and hedgerow will help create an important refuge for local flora and fauna, while also supporting biodiversity. 

CONNECTIVITY
An Doirín's central village location provides fantastic connectivity to local services as well as being a short 10km (7 minutes) commute to University of Galway, University Hospital Galway and other hubs in the western suburbs of Galway city.  Located just off the N59, the scheme benefits from easy access to Galway City. 

SPORTS AND RECREATION
There are also a host of GAA, soccer, tennis, basketball, swimming, badminton, equestrian, sailing, cycling, golf and athletics clubs within the surrounding area.

LOCAL SCHOOLS AND SERVICES
There are no less than four primary schools in the immediate Moycullen area including Scoil Mhuire, Scoil Naomh Bríde, Scoil Bhaile Nua and Scoil Naomh Cholmáin.  

There are also nine secondary schools available within an easy commute in Galway city including Mean Scoil Mhuire, Salerno, Presentation, Dominican, Colaiste Einde, St Mary's, Colaiste Iognáid and St Josephs and Higher Education facilities are available at University of Galway (UG) and Atlantic Technological University (ATU). 

Local retail facilities and services are available within 100 metres to the West at the Cearnog Nua Shopping Centre on the Church road which boasts a SuperValu supermarket, pharmacy, coffee shop and additional services can be accessed at An Furán and throughout the village which hosts a weekly farmers market. A new Lidl store is also planned for the village.

For further information please contact Mary Fahy or Niall Browne on 091 564212

Keep up to-date with NEW PROPERTIES by registering your details on our database 


OFFICE OPENING HOURS - MON TO FRI 9AM TO 5:30PM

Properties can be viewed on our website www.odj.ie 

NOTE:  These particulars are not to be considered a formal offer.  They are for information only and give a general idea of the property.  They are not to be taken as forming any part of a resulting contract, nor to be relied upon as statements or representations of fact.  Whilst every care is taken in their preparation, neither O'Donnellan & Joyce Auctioneers nor the vendor accept any liability as to their accuracy.  Intending purchasers must satisfy themselves by personal inspection or otherwise as to the correctness of these particulars.  No person in the employment of O'Donnellan & Joyce Auctioneers has any authority to make or give any representation or warranty whatever in relation to this property.",Co. Galway,Galway,Connacht,
D12026001,https://www.daft.ie/new-home-for-sale/aderrig-adamstown-co-dublin/6035707,6035707,"Aderrig, Adamstown, Co. Dublin","Adamstown, Co. Dublin",2025-03-07,2026-04-13,80822,,2,2,,,A2,Rory Byrne,Evara Ireland,,,53.342557941034,-6.470908170816,School Name,School Name,"Limited number of 2 bedroom own door apartments & 3 bedroom houses currently on sale by private appointment. 

Aderrig offers contemporary homes built to the highest of standards to those starting out or seeking a larger home in a thriving community. Great thought and consideration have gone into the design of these homes in order to offer a variety of house types within the scheme.    

The residents of Aderrig benefit from the many facilities at the 27 acre Airlie Park, located just a couple of minutes' walk away. Shopping needs are well catered for with Lucan Shopping Centre and a new Lidl store located nearby. The Crossings which is Dublin's newest retail offering located just 5 minutes' walk from Aderrig. This new neighbourhood has been designed to accommodate 11,700 sq. m of retail space, with anchor tenants Tesco and Aldi due to have their new stores open in 2023. The Crossings will also be a place to dine, relax, work out, entertain and live every day. At its core, is a central urban plaza designed to bring the neighbourhood to life and which will play an important role in promoting a destination and a place for the community to come together.   

Adamstown offers an array of sporting facilities on your doorstep such as a full-size GAA all-weather pitch and cricket ground, cricket practice areas, tennis courts as well as changing facilities, equipment storage and a coffee dock. For golfing enthusiasts, Lucan Golf Club is just a short stroll away.   There is a wide variety of education facilities in the area with a range of Montessori's and creches, and primary and secondary schools such as St. John the Evangelist National School, Adamstown Castle Educate Together and Adamstown Community College. 

Transport links are in abundance, whether travelling by bus, car or train with Adamstown Train Station just 800 metres from the development    Please note photographs are of the older show unit, new units may have slight variations.   Upon registering your details will be passed to Evara and Sherry FitzGerald.  For further details please visit https://evara.ie/privacy-policy/  For more information, please register interest or call Sherry FitzGerald on 01 667 1888. Also, more information available on aderrig.ie.",Co. Dublin,Dublin,Leinster,
D12026002,https://www.daft.ie/new-home-for-sale/addison-lodge-glasnevin-dublin-11/6015874,6015874,"Addison Lodge , Glasnevin, Dublin 9","Glasnevin, Dublin 9",2025-02-18,2026-04-13,119129,,2,2,,,A2,Addison Lodge,DMPC Ltd,,001314,53.37120909849267,-6.268860047444008,School Name,School Name,"JUST 4 HOUSES REMAINING. 

Dillon Marshall are proud to present Addison Lodge, a stunning new housing development in the heart of Glasnevin, offering a diverse selection of homes to suit various lifestyles. Choose from spacious 3 and 4-bedroom houses, or contemporary 2 and 3-bedroom apartments, all featuring a charming red brick finish that blends seamlessly with the surrounding area.
This development is thoughtfully designed with landscaped courtyards, providing a peaceful and scenic space for residents to relax and unwind. Located just 3km from Dublin city centre, you'll enjoy the perfect balance of urban convenience and suburban tranquillity. Plus, the beautiful Botanic Gardens are within walking distance, offering a peaceful retreat and an abundance of green space.
Whether you're looking for a family home or a modern apartment, this development offers the ideal setting for contemporary living in one of Dublin's most desirable neighbourhoods.",Dublin 9,Dublin,Leinster,
WH2026001,https://www.daft.ie/new-home-for-sale/abbey-park-kilbeggan-co-westmeath/6453000,6453000,"Abbey Park, Kilbeggan, Co. Westmeath","Kilbeggan, Co. Westmeath",2025-12-11,2026-04-13,7828,,4,3,,,A2,Lydon Farrell Property,Lydon Farrell Property,046 9010126,004164,53.365113510404,-7.4983164654965,School Name,School Name,"Open Viewings this Wednesday 5.30pm - 6.30pm and on Saturday 10am - 11am at the show houses in Abbey Park. See our 3 bedroom and 4 bedroom semi-detached show houses on site along with our additional 3 bedroom show house house which demonstrates what you can achieve if you decide to convert your attic in the future. 

All houses are from €390,000 and all 3 bedroom houses can be easily extended and adapted into 4 bedroom houses if required in the future. On completion Abbey Park will mainly include only semi-detached houses throughout and most available houses in the first phase are overlooking onto a large green space.

The First Home Scheme Threshold has just been increased in County Westmeath therefore most first time buyers at Abbey Park can avail of the First Home Scheme. The Help to Buy Scheme is available to all first time buyers.

Abbey Park is an exciting new development of extra large semi-detached houses located in a beautiful town setting yet only just off the M6 Motorway and within walking distance to the town centre, established schools and public transport. Put down roots at Abbey Park, where modern living blends seamlessly within a well desired and convenient surroundings which includes easy access to a multiple of locations across Ireland. 

Located in the charming town of Kilbeggan, this exclusive development offers the best of rural town life with everything you would expect - a national school, preschool, good secondary schools, a convenience store, grocers, butchers, pharmacy, pubs, recreational facilities and even its very own brewery.

Kilbeggan is well serviced by the M6 Motorway and this in turn offers easy access to Dublin in less than an hour, Maynooth is 50 minutes, Mullingar is 20 minutes, Athlone is 20 minutes and Tullamore is 10 minutes. Public transport links are excellent, with regular services to surrounding towns such as Mullingar and Tullamore, as well as to the capital and the west of Ireland. Journey times can obviously vary depending depending on traffic levels during the day.

The fact that Abbey Park enjoys easy access to good employment across a wide region, purchasers will also enjoy the upcoming selection of extra large semi-detached houses which will be nestled among thoughtfully designed green spaces and parklands. Crafted for modern family living, this development has been built with a sense of community and wellbeing in its foundations.

Sporting enthusiasts can savour the multitude of activities and clubs in Kilbeggan and surrounding locations including gaelic football and hurling, rugby, soccer, golf, athletics and horse racing at Kilbeggan Race Course.

All new houses at Abbey Park have been designed and built to the latest edition of the Part L Building Regulations 2019 and are achieving nZEB status as a 'BER A2' rated house. These houses are to the highest levels of energy efficiency and will use only 30% of the energy that the equivalent house in 2005 required. This has been achieved using a combination of high-performance building fabric materials and high efficiency heating equipment. NZEB benchmark is unlikely to be surpassed for some time.

Don't miss this opportunity to secure home in the upcoming launch and we look forward to meeting you at Abbey Park.

Directions: Abbey Park is just located off between the M6 Motorway and the town centre. On exiting the motorway, drive towards Kilbeggan town centre, after Centre (on the left hand side) take the next left and then the new development entrance is on the left hand side... 

For convenience use the following eircode for directions N91 Y524.",Co. Westmeath,Westmeath,Leinster,
WW2026001,https://www.daft.ie/new-home-for-sale/4a-kilpedder-grove-4a-kilpedder-grove-kilpedder-co-wicklow/6519420,6519420,"4a Kilpedder Grove, 4a Kilpedder Grove, Kilpedder, Co. Wicklow","Kilpedder, Co. Wicklow",2026-03-13,2026-04-13,2015,,4,3,171.0,,A2,Derek Byrne,Derek Byrne Property Consultants,087 937 0896,003778,53.114830755392,-6.1146587319925,School Name,School Name,"A-Rated Detached Family Home
171 sq m / circa 1,840 sq ft
Set among mature surroundings in a quiet and well-established neighbourhood, this exceptional one-off detached home represents a rare opportunity to acquire a newly built A-rated property in the heart of Kilpedder.
Tucked away in a private position cul-de-sac, the property enjoys a wonderfully peaceful setting that combines privacy and tranquillity with everyday convenience. Designed with modern family living in mind, the house extends to approximately 171 square metres (1,840 sq ft) and offers bright, spacious accommodation finished to an excellent contemporary standard throughout.
From the moment you step inside, the home’s emphasis on light, space and quality is immediately apparent. Well-proportioned living areas are complemented by generous ceiling heights and large windows that flood the interior with natural light, creating a bright and welcoming atmosphere throughout.
At the heart of the home is a spacious open-plan kitchen and dining area, designed to serve as the natural hub for family life and entertaining alike. The bespoke modern kitchen provides extensive cabinetry and worktop space, while large patio doors open directly onto the rear patio and garden, seamlessly connecting indoor and outdoor living.
A separate living room offers a comfortable retreat overlooking the front of the property, while practical everyday needs are well catered for with a utility room and guest bathroom on the ground floor. The flexible layout also provides the option of a home office, study or guest bedroom if desired.
Upstairs, the sense of space continues with a selection of well-proportioned bedrooms, each enhanced by fitted wardrobes and excellent natural light. The main bedroom benefits from a stylish ensuite, while the remaining bedrooms are served by a well-appointed family bathroom finished with contemporary fittings and quality tiling.
The home has been constructed with energy efficiency and modern comfort as key priorities. An advanced air-to-water heat pump system delivers highly efficient heating, supported by underfloor heating at ground floor level, radiators upstairs and zoned heating controls for optimal comfort and efficiency.
Outside, the property is equally impressive. The landscaped front driveway and rear patio areas have been finished to a high standard, while the gardens are levelled, seeded and enclosed by plastered and capped boundary walls to provide a private and secure outdoor environment ideal for relaxing, entertaining or family life.
Combining contemporary design, high-quality construction and an enviable private setting, 4A Kilpedder Grove offers a superb opportunity to acquire a stylish and energy-efficient modern home in one of Wicklow’s most attractive residential locations.
________________________________________
FEATURES
External Features
• High-performance double-glazed timber or aluclad windows and doors with granite window sills
• Quality hard landscaping to front driveway and rear patio areas
• Porcelain patios and external door steps
• Landscaped gardens levelled and seeded
• Plastered and capped boundary walls with white nap plaster finish
• External power socket and garden tap fitted as standard
• Private site with no passing traffic
Electrical & Media Connectivity
• Future-proof ducting for electric vehicle charging point
• Generous electrical and lighting specification with a mix of pendant and recessed lighting
• Wired with Cat 6 cabling for high-speed broadband throughout
• Provision for multiple TV and broadband connection points throughout the home
• Pre-wiring for intruder alarm system (subject to final specification)
Heating & Energy Efficiency
• Highly efficient A-rated air-to-water heat pump system (Mitsubishi or similar)
• Underfloor heating throughout the ground floor
• Radiators to first floor with heated towel rails in bathrooms
• Zoned heating controls for improved energy efficiency and comfort
• Pressurised plumbing system
Internal Finishes
• Bright, spacious living areas designed for modern family living
• Approx. 8-foot ceilings at ground and first floor levels
• Solid timber staircase with hardwood oak handrail
• Contemporary skirting and architraves
• Quality interior joinery throughout
• All walls and ceilings skimmed and painted as standard
• Satin-finish painted woodwork throughout
• Chrome or brushed brass sockets and switches in kitchen and living areas
Kitchen
• Modern bespoke kitchen with contemporary cabinetry and worktops
Utility Room
• Utility fitted with base units and worktop
• Plumbed and wired for washing machine and tumble dryer
• Floor tiling as standard
Bathrooms & Ensuites
• Contemporary white sanitary ware with sleek chrome, brass or black fittings
• Large walk-in shower to master ensuite with slimline slate tray and rainhead shower
• Pressurised shower systems
• Shower screens and wet-room style panels
• Heated towel rails
• Porcelain floor and wall tiling to wet areas
Bedrooms
• High-quality built-in wardrobes in all bedrooms with oak finish interiors
• Combination of hanging and shelving storage
Flooring
• Flooring to hall, living and dining areas
• Tiling to kitchen, utility and WC
________________________________________
LOCATION
Kilpedder is a highly regarded residential location set between Delgany, Greystones and Newtownmountkennedy, offering the perfect balance between countryside tranquillity and everyday convenience.
The property is within easy reach of Greystones town centre, which offers a wide selection of supermarkets, shops, cafés, restaurants, boutiques and leisure amenities including the marina, beaches and the popular seafront walk.
The area is well served by an excellent choice of schools, sports clubs and recreational facilities, while the nearby N11/M11 corridor provides convenient access to Dublin city centre and beyond. Greystones DART station also offers regular commuter services to the capital.
Surrounded by the scenic beauty of the Wicklow countryside and close to the many walking trails and outdoor pursuits the county is famous for, Kilpedder offers a superb lifestyle location within easy commuting distance of Dublin.",Co. Wicklow,Wicklow,Leinster,
CE2026001,https://www.daft.ie/new-home-for-sale/8-errina-close-oireanach-8-errina-close-oireanach-clonlara-co-clare/6294986,6294986,"No 8 Errina Close & No 2 Errina Locke, Oireanach , No 8 Errina Close & No 2 Errina Locke, Oireanach , Clonlara, Co. Clare","Clonlara, Co. Clare",2025-10-02,2026-04-13,22707,,4,4,,,A2,Lisa Kearney MIPAV TRV MMCEPI,Rooney Auctioneers - Limerick/Galway,061 413511,002593,52.72943986086315,-8.515272720239551,School Name,School Name,"Rooney Auctioneers are delighted to present this exceptional detached home in the stunning new development at Errina Close, right in the heart of Clonlara Village. Already proving hugely popular with buyers across Clare and Limerick, this final unit is now available  offering a rare opportunity to secure a home in this exclusive cul-de-sac of just eight large, detached properties. Each home has been finished to impeccable standards, with spacious gardens, generous parking, beautiful landscaping, and elegant architectural design.

No. 8 Errina Close is built to the highest specification, showcasing meticulous attention to detail and contemporary design. The accommodation features bright, open-plan living areas balanced with private spaces, along with generously proportioned bedrooms for comfort and style. With an impressive A2 BER rating, this home delivers superb energy efficiency alongside modern luxury.

OIREANACH is a prestigious development of luxury detached homes, nestled on an elevated site in the picturesque village of Clonlara, Co. Clare. 

Surrounded by landscaped green areas, Errina Close provides a peaceful and family-friendly setting while enjoying the charm of Clonlara Village. Perfectly situated between the River Shannon and the Clare Hills, Clonlara offers the best of country living while being only 10km from Limerick City. The village is also convenient to Killaloe, with its waterside walks and water sports (12km), and O'Briens Bridge with its array of restaurants and local amenities (5km).

This exceptional location offers the perfect blend of tranquil countryside living with superb connectivity.

This home is complete and ready for occupation in a few short weeks. Large site with landscaping, patio areas and a host of additional extras. 

This is a unique opportunity to acquire a magnificent home where quality, style, and location come together seamlessly. Early viewing is  highly recommended.

Open to Offers and guiding from €690,000



FEATURES

Some of the many fantastic features.
-              A2 energy rating
-              Underfloor heating
-              Superb contemporary fitted kitchen
-              High quality tiling to bathroom floors and wet areas
-              High quality sanitaryware and vanity units in each bathroom
-              High quality painted internal doors
-              Contemporary Shaker architrave and skirting
-              Brushed satin finish ironmongery
-              Internal smooth finish painting throughout
-              Superior quality internal joinery
-              Wired for high speed broadband (Cat 6)
-              Cable installed for future car charging point
-              Thermostatic zoned heating controls
-              Pressurised hot and cold water
-              Demand Control Ventilation (DCV) system
-              10 year Structural / Latent Defects insurance

HOUSE SPECIFICATION

8 Errina Close - Type 5E

KITCHEN AND UTILITY ROOM:
-              Superb contemporary kitchen. 
-              Quartz worktops in kitchen (including kitchen peninsula) with fluted draining board, upstand, window-board and hob backsplash.
-              Ceramic sink and brass tap.
-              Integrated extractor fan.
-              Separate utility room with below-counter space for washing machine and dryer.
-              Composite counter-tops in utility room and stainless-steel sink. 
-              Fitted storage units in utility room.

BATHROOMS AND ENSUITE:
-              High quality tiling to floors and 'wet areas' in bathrooms and ensuite. 
-              Floors tanked upstairs.
-              Contemporary shower enclosure complete with pressurized water supply and fitted shower screen.
-              High quality sanitaryware.
-              Elegant vanity units are provided in all bathrooms.

INTERIOR FINISHES:
-              Floor tiles to Utility and WC downstairs.
-              Ultra durable AC5 15mm Laminate to all remaining ground floor areas.
-              Contemporary grooved architrave and skirting.
-              High quality painted doors.
-              Brushed satin finish ironmongery.
-              Internal smooth finish painting throughout.
-              Superior quality internal joinery.

WARDROBES:
-              Walk-in-wardrobes fitted in 2 bedrooms (Main Bedroom and Bedroom 4)
-              Fitted standard wardrobes in remaining two bedrooms.

MEDIA AND COMMUNICATIONS:
-              Wired for high-speed broadband (Cat 6).
-              TV connection point in living room.
-              Main infrastructure installed to accommodate high-speed fibre broadband.

ELECTRICAL:
-              Generous lighting and power points. 
-              Cable run to allow high-speed car charging point later.
-	Cable run to future shed location 

HEATING:
-              High efficiency Air-To-Water heating system (split tank system, cheapest to run and quieter) with thermostatic zoned heating controls. 
-              Underfloor heating to ground floor and radiators to first floor. 
-              Pressurized hot and cold water. 

ENERGY EFFICIENCY:
-              A2 BER energy rating. 
-              Highly insulated air-tight design.
-              Demand Control Ventilation (DCV) system for automatic control of dwelling ventilation. 
-              Excellent levels of roof, wall, and floor insulation. 
-              A-Rated Air-to-Water heat pump unit split tank system, (cheapest system to run and quieter) with zoned heating controls. 
-              High performance internal pipe insulation to reduce heat loss. 
-              Energy saving LED light fittings.

EXTERNAL FEATURES:
-              UPVC high-performance double-glazed windows with low U-value (1.2W/M2K) for energy efficiency.
-              Engineered timber front door with multi-locking system.
-              Large, glazed patio doors to private rear garden.
-              Side passage gate and footpath at side of house. 
-              Seeded gardens, and post and panel dividing walls. 
-              Aquaflow cobblelock paved front driveway to accommodate parking. 
-              24 sq mtr porcelain patio. 


SECURITY AND SAFETY:
-              Co2 and smoke detectors fitted throughout (mains powered with battery backup).
-              Multi-locking system on all external windows and doors.
-              Safe restrictors provided on upper floor windows.

WARRANTY
-              10 year Structural / Latent Defects Insurance provided by HomeBond.


Entrance Hall
Guest W.C. 
Living Room
Open Plan kitchen / dining / living
Utility Room
Bedroom 1 with ensuite and walk-in-wardrobe
Bedroom 2 with ensuite and walk-in-wardrobe
Bedroom 3
Bedroom 4
Main bathroom
Storage closet

These Particulars and Terms are issued by Rooney Auctioneers (Limerick) Limited on the agreed understanding that all negotiations in respect of the property mentioned, are and will be conducted through them.  Whilst every care has been taken in preparing these Particulars and Terms of the said property, Rooney Auctioneers (Limerick) Limited do not warrant these Particulars and Terms or any representations made by them about the property and all intending purchasers/lessees should satisfy themselves as to the correctness and/or accuracy of the information given. Rooney Auctioneers (Limerick) Limited shall further not be liable for any loss or expenses, which may be incurred in visiting the property, should it prove unsuitable or to have been let, sold or withdrawn.",Co. Clare,Clare,Munster,
LK2026001,https://www.daft.ie/new-home-for-sale/an-cloch-n-barnakyle-patrickswell-co-limerick-patrickswell-co-limerick/6012045,6012045,"AN CLOCHÁN,BARNAKYLE  PATRICKSWELL, CO.LIMERICK, V94N73H, Patrickswell, Co. Limerick","Patrickswell, Co. Limerick",2025-02-20,2026-04-13,39068,,3,3,,,A2,Lisa Kearney MIPAV TRV MMCEPI,Rooney Auctioneers - Limerick/Galway,061 413511,002593,52.598923253060235,-8.70582370397895,School Name,School Name,"SOLD OUT


An exclusive development by Joyce Building Contractors of luxury detached and semi-detached homes located on a stunning elevated site in the scenic and well-connected village of Patrickswell, Co.Limerick  V94N73H

SPECIFICATIONS
Home Energy Ratings: 
     A2

Energy Efficiency: 
	Kingspan Ultima Timber Frame Construction  
	Priority Ventilation 
	Air to Water Heat Pump

Windows and Doors:
	Walsh Windows 
	Double Glazed UPVC

Landscaping:
	Front planters
	Levelled and seeded garden 

Internal Finishes:
Tiling to Hallway, downstairs Wc floor and splashback , Kitchen/diningroom, main bathroom floor and splashback  and ensuite bathroom floor and splashback 
Red Deal Stair with decorative balustrades 
Moulded skirting & architrave 
White regency door with chrome handles 

External Finish:
	Back uPVC fascia, soffit, gutters & downpipe
	Painted rendered finish 
 	External Tap 

Security & Safety:
	Pre-wired for security alarm
 	Smoke detectors fitted

Media & Communications:
	Wired for Phone & Broadband 

Bathrooms:
Modern high quality sanitary ware 
Pressurized T Bar Shower with rain head
Tiling downstairs Wc floor and splashback ,  main bathroom floor and splashback  and ensuite bathroom floor and splashback 

Kitchens & Utilities: 
Kitchen/diningroom tiled flooring
Fitted Modern Kitchen
Plumbed for washing machine and dishwasher

Heating & Ventilation:
	Underfloor heating both floors 
	Priority Ventilation 

Warranty: 
	10 year Structural Guarantee with Home Bond",Co. Limerick,Limerick,Munster,
XX2026001,https://www.daft.ie/new-home-for-sale/alderwood-at-altidore-gardens-alderwood-at-altidore-gardens-newtownmountkennedy-co-wicklow/6037174,6037174,"Alderwood At Altidore Gardens, Newtownmountkennedy","Alderwood At Altidore Gardens, Newtownmountkennedy",2025-03-12,2026-04-13,127906,,3,3,,,A2,Ian Walsh,Sherry FitzGerald New Homes,,002183,53.093438,-6.11874,School Name,School Name,"Register your interest at www.altidoregardens.ie/Alderwood

Welcome to Alderwood – A New Chapter in Altidore Gardens by D/RES Properties, featuring a beautifully designed collection of 2, 3, and 4-bedroom family homes in Newtownmountkennedy, Co. Wicklow

We’ve made it easy for you to explore the Altidore Gardens development through our interactive map: https://apps.modelworks.ie/AltidoreApp/ 

As the third estate following Willow Way and Merepark, Alderwood is a thoughtfully designed community built on the foundations of sustainability, innovation, and connectivity. Each home boasts A-rated energy efficiency, exceptional finishes, and smart, modern design to support a contemporary lifestyle.

The vibrant community of Newtownmountkennedy offers a welcoming atmosphere with excellent local amenities, including cafés, shops, restaurants, primary and secondary schools, crèches and Montessori schools, sports clubs, parks, hotels, leisure centres, and more. Just a short drive north, the coastal town of Greystones and charming village of Delgany provide additional dining, shopping, transport, and leisure options, all within ten minutes’ drive of Alderwood.

Residents of Alderwood enjoy excellent transport links, including Dublin Bus services from the village, DART and Irish Rail connections via Greystones, and the LUAS Green Line at Cherrywood Park & Ride, just a 15-minute drive away. Direct access to the N11/M11 in just minutes providing a seamless route to the M50 and Dublin City Centre.

Alderwood at Altidore Gardens - Experience the best of modern living in a vibrant, well-connected community.",Newtownmountkennedy,Newtownmountkennedy,Unknown,
XX2026001,https://www.daft.ie/new-home-for-sale/55-71-phoenix-park-avenue-55-71-phoenix-park-avenue-phoenix-park-racecourse/6475496,6475496,"55-71 Phoenix Park Avenue, Phoenix Park Racecourse","55-71 Phoenix Park Avenue, Phoenix Park Racecourse",2026-01-26,2026-04-13,8437,,4,3,500.0,,,Sales Office,Hooke & MacDonald,016318402,001651,53.374126,-6.344827,School Name,School Name,"Superb Large 4 bedroom family homes at 55-71 Phoenix Park Avenue.

To register your interest please contact: sales
The spacious three storey houses enjoy an elegant setting close to Fairhaven Park and playground as well as the parklands at Phoenix Park Racecourse with its new playground. Here, yellow brick facades with granite detailing rise from the tastefully landscaped grounds where all houses have private off-street cobbled driveways and south-west facing gardens. 

High levels of air-tightness and insulation achieve an A2/A3 Building Energy Rating and all the houses are wired for an electric car charging point. Each house has outstanding quality and attention to detail with beautiful hard-wearing finishes throughout. These include solid timber painted doors, with extra tall doors to ground floor rooms, contemporary architraves and skirting, elegant tiling, and perfectly designed under-stair storage features. 

Large kitchens benefit from a separate utility room while the dining/family area opens to a rear garden where a generous patio provides an elegant extension of living space. Gardens are seeded and are completed with a timber garden shed.

Wood stairs with light oak handrails lead up to the spacious landing which links to impressive bedroom accommodation complete with large floor to ceiling wardrobes. 
Bathrooms and ensuites are tiled as per showhouse and offer the highest standards. 

The entire second floor is dedicated to the extensive master suite complete with large bedroom, ensuite, walk-in wardrobe and a store room.

Onsite Shops

The Phoenix Park Racecourse Neighbourhood Centre is anchored by the Londis Racecourse foodhall. The property comprises a 500 sq.m premises which provides residents with convenient retail amenity including: off-licence, deli and hot food, there is also the Phoenix Park Pharmacy, Nazoo Skin & Beauty who specialise in delivering high quality skincare and beauty services, KB coffee shop and The Hair Room. Terms have recently been agreed with an expanding creche operator which will further enhance the offerings available to local residents.

The amenities and facilities of Castleknock are of the highest order and Phoenix Park Racecourse is within easy walking distance of its restaurants, bars, cafes, boutiques and all the great amenities of this historic village. There are excellent gyms, sports clubs, hobby and interest groups as well as easy access to the amenities of the Phoenix Park. The City Centre is a short drive, cycle, bus or train ride away, while the local area boasts some of Ireland's best Primary and Secondary schools. 

Founded in 1976, Flynn & O'Flaherty is a family run business with almost half a century experience delivering New Homes, Property Investments as well as Office & Commercial Developments. 

From considered planning to innovative architecture, enhanced community spaces, combined with exceptional hard and soft landscaping, Flynn & O'Flaherty have applied their expertise to deliver an exceptional living environment at Phoenix Park Avenue, Phoenix Park Racecourse.",Phoenix Park Racecourse,Phoenix Park Racecourse,Unknown,area_too_large
